movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,audience_count,review_content,cleaned_content,keywords,combined_keywords
Brahms: The Boy II,Terror strikes when a boy discovers a doll that appears to be eerily human.,"More likely to induce boredom than quicken the pulse, Brahms: The Boy II is chiefly scary for the way it undermines the effectiveness of its above-average predecessor.",PG-13,"Horror, Mystery & Suspense",William Brent Bell,Stacey Menear,"Katie Holmes, Ralph Ineson, Owain Yeoman, Christopher Convery, Anjali Jay, Oliver Rice, Joely Collins, Natalie Moon",1304.0,"Without any notably tense or memorable sequences, The Boy II manages to creep audiences out in... traditional fashion; horror aficionados, at least, should enjoy the ancient yet effective tactics employed here.",without any notably tense or memorable sequences the boy ii manages to creep audiences out in traditional fashion horror aficionados at least should enjoy the ancient yet effective tactics employed here ,notably tense fashion horror tactics memorable sequences creep audiences ii,"notably tense fashion horror tactics memorable sequences creep audiences ii Horror, Mystery & Suspense"
Bullet to the Head,"When veteran hit man Jimmy Bobo (Sylvester Stallone) and his partner, Louis (Jon Seda), kill a corrupt ex-cop, Louis in turn loses his life to an ex-mercenary named Keegan (Jason Momoa). Detective Taylor Kwon (Sung Kang) senses a connection between the two killings and seeks out Bobo, who subsequently saves Kwon from an assassination attempt. The pair join forces against a common enemy: a ruthless real-estate developer named Robert Nkomo Morel (Adewale Akinnuoye-Agbaje).","Bullet to the Head's unapologetically trashy thrills evoke memories of its star and director's proud cinematic pasts -- but sadly, those memories are just about all it has to offer.",R,"Action & Adventure, Mystery & Suspense",Walter Hill,"Walter Hill, Alessandro Camon","Sylvester Stallone, Sung Kang, Sarah Shahi, Adewale Akinnuoye-Agbaje, Jason Momoa, Christian Slater, Jon Seda, Holt McCallany, Brian Van Holt, Weronika Rosati, Dane Rhodes, Marcus Lyle Brown, Andrew Austin-Peterson, Paul Etheredge, Robert Cavan Carruth, Louis Michot, Andre Michot, Lacey Minchew, Dominique DuVernay, Dana Gourrier, Robert Larriviere, Don Yesso, Douglas M. Griffin, Tiffany Reiff, Jackson Beals, Donna DuPlantier, Andrea Frankle, Teri Wyble, Don Tai, Milos Milicevic, Kara Bowman",27840.0,[D]irector Walter Hill's brutal depiction of various bullet-ridden firefights and wall-smashing fisticuffs is fully simpatico with Bobo's nearly absurd machismo., d irector walter hill s brutal depiction of various bullet ridden firefights and wall smashing fisticuffs is fully simpatico with bobo s nearly absurd machismo ,d irector walter hill bullet ridden firefights brutal depiction absurd,"d irector walter hill bullet ridden firefights brutal depiction absurd Action & Adventure, Mystery & Suspense"
By The Sea,"A troubled American couple (Brad Pitt, Angelina Jolie Pitt) befriend young newlyweds and local villagers while staying at French seaside resort.","By the Sea may intrigue celebrity voyeurs or fans of a certain type of arthouse cinema, but for most viewers, its beauty won't be enough to offset its narrative inertia.",R,"Drama, Romance",Angelina Jolie,Angelina Jolie,"Angelina Jolie, Brad Pitt, Melvil Poupaud, Mélanie Laurent, Niels Arestrup, Sarah Naudi, Richard Bohringer, Marika Green, Aldo Buontempo, Philippe Martinet, Francis Xuereb, Kathleen Beethans, Malcolm Beethans, Bjorn Kubin, Penny Dix, George Camilleri, Arcadia Vodka, Indi Marceau Coppola, Jeff Atmajian",5546.0,"Jolie-Pitt's screenplay leaves much to be desired as its characters languish under the coastal sun. Its dialog is stilted, which doesn't help its watery concept to keep the biggest piece of information hidden from its audience in plain sight.",jolie pitt s screenplay leaves much to be desired as its characters languish under the coastal sun its dialog is stilted which doesn t help its watery concept to keep the biggest piece of information hidden from its audience in plain sight ,jolie pitt watery concept information hidden characters languish screenplay leaves,"jolie pitt watery concept information hidden characters languish screenplay leaves Drama, Romance"
Call Me by Your Name,"It's the summer of 1983, and precocious 17-year-old Elio Perlman is spending the days with his family at their 17th-century villa in Lombardy, Italy. He soon meets Oliver, a handsome doctoral student who's working as an intern for Elio's father. Amid the sun-drenched splendor of their surroundings, Elio and Oliver discover the heady beauty of awakening desire over the course of a summer that will alter their lives forever.","Call Me by Your Name offers a melancholy, powerfully affecting portrait of first love, empathetically acted by Timothée Chalamet and Armie Hammer.",R,"Drama, Romance",Luca Guadagnino,James Ivory,"Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar, Esther Garrel, Victoire Du Bois",15872.0,"A film that's at once light, joyful and emotionally devastating, with deeply affecting central performances. A full-hearted romantic masterpiece.",a film that s at once light joyful and emotionally devastating with deeply affecting central performances a full hearted romantic masterpiece ,affecting central performances emotionally devastating light joyful masterpiece,"affecting central performances emotionally devastating light joyful masterpiece Drama, Romance"
Cars,"While traveling to California to race against The King (Richard Petty) and Chick Hicks (Michael Keaton) for the Piston Cup Championship, Lightning McQueen (Owen Wilson) becomes lost after falling out of his trailer in a run down town called Radiator Springs. While there he slowly befriends the town's odd residents, including Sally (Bonnie Hunt), Doc Hudson (Paul Newman) and Mater (Larry the Cable Guy). When it comes time for him to leave to championship is no longer his top priority.","Cars offers visual treats that more than compensate for its somewhat thinly written story, adding up to a satisfying diversion for younger viewers.",G,"Action & Adventure, Animation, Comedy, Kids & Family","John Lasseter, Joe Ranft","John Lasseter, Dan Fogelman, Joe Ranft, Kiel Murray, Phil Lorin, Jorgen Klubien","Owen Wilson, Paul Newman, Bonnie Hunt, Larry The Cable Guy, Cheech Marin, Tony Shalhoub, Guido Quaroni, Jenifer Lewis, Paul Dooley, Michael Wallis, George Carlin, Katherine Helmond, John Ratzenberger, Joe Ranft, Michael Keaton, Jeremy Piven, Bob Costas, Darell Waltrip, Richard Kind, Edie McClurg, Humpy Wheeler, Tom Magliozzi, Ray Magliozzi, Richard Petty, Andrew Stanton, Dale Earnhardt Jr., Michael Schumacher, Jay Leno, Mario Andretti, Sarah Clark, Jonas Rivera, Mike ""No Name"" Nelson, Lou Romano, Adrian Ochoa, E.J. Holowicki, Elissa Knight, Lindsey Collins, Larry Benton, Tom Hanks, Douglas ""Mater"" Keever, Tim Allen, Billy Crystal, John Goodman, Dave Foley, Michael Patrick Bell, Susan Blu, Andrea Boerries, Rodger Bumpass, Torbin Xan Bullock, Richard Cawood, Scott Clark, Kathy Coates, Jennifer Darling, Randy Newman, Brian Fee, Craig Good, Sheryl Crow, Artie Kempner, John Mayer, Hooman Khalili, Sonoko Konishi, Erik Langley, Laraine Newman, Teddy Newton, Colleen O'Shaughnessy, Bob Peterson, Steve Purcell (II), A. J. Riebli III, Steve Schaffer, Ken Schretzmann, Bob Scott, Matt Staudt, Jay Ward, Jim Ward, Colette Whitaker",878175.0,"Musty, corny, and largely devoid of any enchanting magic, it's also the pioneering Pixar's first effort that, trailblazing technical virtuosity be damned, feels disappointingly regressive.",musty corny and largely devoid of any enchanting magic it s also the pioneering pixar s first effort that trailblazing technical virtuosity be damned feels disappointingly regressive ,musty corny pioneering pixar trailblazing technical virtuosity enchanting magic devoid,"musty corny pioneering pixar trailblazing technical virtuosity enchanting magic devoid Action & Adventure, Animation, Comedy, Kids & Family"
Casino Jack,"Powerful lobbyist Jack Abramoff (Kevin Spacey) is on a mission to acquire all the good things that money, power and privilege can buy. With business partner Michael Scanlon (Barry Pepper) at his side, Abramoff uses his considerable clout to amass a lucrative and influential personal empire. When Abramoff and Scanlon team up with a mob-connected pal to carry out their latest scheme, they soon find themselves in over their heads.","Kevin Spacey turns in one of his stronger performances, but Casino Jack is a disappointingly uneven fictionalized account of a fascinating true story.",R,"Comedy, Drama, Mystery & Suspense",George Hickenlooper,Norman Snider,"Kevin Spacey, Barry Pepper, Jon Lovitz, Kelly Preston, Rachelle Lefevre, Daniel Kash, Graham Greene (II), Maury Chaykin, Christian Campbell, Yannick Bisson, Spencer Garrett, Conrad Pla, Ruth Marshall, Sima Fisher, Xenia Siamas, Hannah Endicott-Douglas, Joe Pingue, David Fraser, Cindy Dolenc, Paolo Mancini, Graham Abbey, Judah Katz, Nancy Beatty, Matt Gordon, Jeffrey R. Smith, Jason Weinberg, Jeff Pustil, Kristin Hinton, Reid Morgan, Damir Andrei, Paul Brian Anderson, Andrea Davis, John David Whalen, Adam Waxman, Anna Hardwick, Cynthia Amsden, Balford Gordon, Paul Stephen, Stephen Chambers",11581.0,"Casino Jack is all over the place: exaggerated comedy, cartoonish high jinks, then heavy-handed melodrama...",casino jack is all over the place exaggerated comedy cartoonish high jinks then heavy handed melodrama ,casino jack melodrama place exaggerated comedy cartoonish high,"casino jack melodrama place exaggerated comedy cartoonish high Comedy, Drama, Mystery & Suspense"
Central Intelligence,"Bullied as a teen for being overweight, Bob Stone (Dwayne Johnson) shows up to his high school reunion looking fit and muscular. While there, he finds Calvin Joyner (Kevin Hart), a fast-talking accountant who misses his glory days as a popular athlete. Stone is now a lethal CIA agent who needs Calvin's number skills to help him save the compromised U.S. spy satellite system. Together, the former classmates encounter shootouts, espionage and double-crosses while trying to prevent worldwide chaos.","Kevin Hart and Dwayne Johnson make for well-matched comic foils, helping Central Intelligence overcome a script that coasts on their considerable chemistry.",PG-13,"Action & Adventure, Comedy",Rawson Marshall Thurber,"Rawson Marshall Thurber, Ike Barinholtz, David Stassen","Dwayne Johnson, Kevin Hart, Amy Ryan, Danielle Nicolet, Jason Bateman, Aaron Paul, Ryan Hansen, Tim Griffin, Timothy John Smith, Sione Kelepi, Dylan Boyack, Thomas Kretschmann, Megan Park, Slaine Jenkins, Annie Kerins, Nate Richman, Robert Woo, Kumail Nanjiani, Phil Reeves, David Stassen, Rickey Eugene Brown, Kyle Washburn, Michael Patrick Kane, Sarah K. Thurber, Lawrence Koplin, Rawson Marshall Thurber, Barry Peterson, Ludwig Göransson, Richard Brener, Ike Barinholtz, Theodore Shapiro, Samuel J. Brown, Michael Disco, Toby Emmerich, Michael Fottrell, Ed Helms, Steven Mnuchin, Peter Principato, Scott Stuber",54356.0,"It helps that he's working with Dwayne 'The Rock' Johnson, a man-mountain with an unexpected gift for comedy, but the fact is -- I never thought I'd write this -- Hart is emerging as a genuinely funny guy.",it helps that he s working with dwayne the rock johnson a man mountain with an unexpected gift for comedy but the fact is i never thought i d write this hart is emerging as a genuinely funny guy ,rock johnson d write guy unexpected gift man,"rock johnson d write guy unexpected gift man Action & Adventure, Comedy"
Child 44,"In 1950s Soviet Russia, secret police agent Leo Demidov (Tom Hardy) loses everything when he refuses to denounce his wife, Raisa (Noomi Rapace) as a traitor. Finding themselves exiled to a grim provincial outpost, Leo and Raisa join forces with Gen. Mikhail Nesterov (Gary Oldman) to capture a serial killer who preys on young boys. They soon find that their investigation threatens a system-wide cover-up enforced by Vasili (Joel Kinnaman), Leo's psychopathic rival.","There's a gripping story at the heart of Child 44 and a solid performance from Tom Hardy in the lead, but it all still adds up to a would-be thriller that lacks sufficient thrills.",R,"Drama, Mystery & Suspense",Daniel Espinosa,Richard Price,"Tom Hardy, Noomi Rapace, Joel Kinnaman, Gary Oldman, Vincent Cassel, Jason Clarke, Paddy Considine, Michael Nardone, Ivan G'Vera, Charles Dance, Tara Fitzgerald, Nikolaj Lie Kaas, Ned Dennehy, Sam Spruell, Josef Atlin, Petr Vanek, Fares Fares, Agnieszka Grochowska, Mark Lewis Jones, Xavier Atkins, Daniel Espinosa, Ridley Scott, Michael Schaefer, Adam Merims, Nicholas Cochran, Elishia Holmes, Douglas Urbanski, Kevin Plank, Molly Conners, Maria Cestone, Sarah E. Johnson, Hoyt David Morgan, Karel Dobry, Ursina Lardi",11998.0,"You're left with the sense of a film attempting to say some ambitious things about a specific time in history and what a crushing totalitarian system can do to the human spirit, but the ""thriller"" part shrivels up along the way.",you re left with the sense of a film attempting to say some ambitious things about a specific time in history and what a crushing totalitarian system can do to the human spirit but the thriller part shrivels up along the way ,film attempting crushing totalitarian ambitious things specific time human spirit,"film attempting crushing totalitarian ambitious things specific time human spirit Drama, Mystery & Suspense"
Christmas Carol - The Movie,"In this animated retelling of Charles Dickens' classic tale, Ebeneezer Scrooge (Simon Callow) remains the same old curmudgeonly hermit. As he tries to resist the Christmas cheer surrounding him, several ghosts appear to him to show him the error of his ways. The Ghost of Christmas Past (Jane Horrocks), the Ghost of Christmas Present (Michael Gambon), former partner Marley (Nicolas Cage) and an earnest mouse help him change his cold heart just in time for the holiday.",,PG,"Animation, Kids & Family",Jimmy T. Murakami,"Piet Kroon, Robert Llewellyn","Simon Callow, Nicolas Cage, Kate Winslet, Jane Horrocks, Michael Gambon, Rhys Ifans, Juliet Stevenson, Iain Jones, Colin McFarlane, Beth Winslet, Arthur Cox, Keith Wickham, Joss Sanglier, Sarah Annison, Kim Hidalgo, Lana McKissack, Ryan Merriman",3125.0,Charles Dickens's oft-filmed classic ghost story here suffers the final indignity of being turned into a sentimental and unimaginatively drawn cartoon.,charles dickens s oft filmed classic ghost story here suffers the final indignity of being turned into a sentimental and unimaginatively drawn cartoon ,charles dickens oft filmed classic ghost story drawn final indignity,"charles dickens oft filmed classic ghost story drawn final indignity Animation, Kids & Family"
Click,"Michael Newman (Adam Sandler) seems to have it all but his wife, Donna (Kate Beckinsale), is increasingly frustrated by the amount of time he has to spend at work. Michael cannot find time to be at home until he meets an eccentric inventor (Christopher Walken) who gives him a universal remote that controls time. At first he happily skips the boring times until he realizes the remote is in control of his life and he learns to cherish all the precious moments with his family.","This latest Adam Sandler vehicle borrows shamelessly from It's A Wonderful Life and Back To The Future, and fails to produce the necessary laughs that would forgive such imitation.",PG-13,"Comedy, Kids & Family",Frank Coraci,"Steve Koren, Mark O'Keefe","Adam Sandler, Kate Beckinsale, Christopher Walken, David Hasselhoff, Henry Winkler, Julie Kavner, Sean Astin, Rachel Dratch, Joseph Castanon, Jonah Hill, Jake Hoffman, Tatum McCann, Lorraine Nicholson, Katie Cassidy, Cameron Monaghan, Jennifer Coolidge, Sophie Monk, Michelle Lombardo, Jana Kramer, Nick Swardson, Sidney Ganis, Sid Ganis, Michael Yama, Eiji Inoue, Mio, Toshi Toda, Katheryn Cain, Frank Coraci, John Pagano, George K. Eguchi, Emilio Cast, Elliot Cho, Tim Herlihy, Carolyn Hennesy, Ireesha, Alan Au, Elena Patten, Cheyenne Alexis Dean, Dolores O'Riordan Burton, Willy Goldstein, Sally Insul, Lily Mo Sheen, Carolyn Hennessey, Gary Holm, Cheyenne Dean, Ryan Keiser, Christopher Gutierrez, Nickole Reyes, Brianne Davis, Robert Jones, Jenae Altschwager, Manish Goyal, Marco Kahn, Ahmad Jordan, Jamil N. Hodaly, Alireza Tanbakoochi, Nate Torrence, Blake Neely",874835.0,"For Sandler, the transition from MTV cool to VH1 nostalgic seems natural, but the emotion and the longing that accompany nostalgia are still lost on an actor with limited range, trying mightily to improve himself.",for sandler the transition from mtv cool to vh1 nostalgic seems natural but the emotion and the longing that accompany nostalgia are still lost on an actor with limited range trying mightily to improve himself ,mtv cool vh nostalgic accompany nostalgia limited range trying mightily,"mtv cool vh nostalgic accompany nostalgia limited range trying mightily Comedy, Kids & Family"
Cloud Atlas,"Actors (Tom Hanks, Halle Berry, Jim Broadbent) take on multiple roles in an epic that spans five centuries. An attorney harbors a fleeing slave on a voyage from the Pacific Islands in 1849; a poor composer in pre-World War II Britain struggles to finish his magnum opus before a past act catches up with him; a genetically engineered worker in 2144 feels the forbidden stirring of human consciousness -- and so on. As souls are born and reborn, they renew their bonds to one another throughout time.","Its sprawling, ambitious blend of thought-provoking narrative and eye-catching visuals will prove too unwieldy for some, but the sheer size and scope of Cloud Atlas are all but impossible to ignore.",R,"Drama, Science Fiction & Fantasy","Tom Tykwer, Lilly Wachowski, Lana Wachowski","Lilly Wachowski, Tom Tykwer, Lana Wachowski","Tom Hanks, Halle Berry, Jim Broadbent, Hugo Weaving, Jim Sturgess, Doona Bae, Ben Whishaw, James D'Arcy, Xun Zhou, Keith David, David Gyasi, Susan Sarandon, Hugh Grant, Robert Fyfe, Alex Wuttke, Robin Morrissey, Brody Nicholas Lee, Ian Van Temperley, Amanda Walker, Ralph Riach, Andrew Havill, Tanja De Wendt, Raeven Lee Hanan, Götz Otto, Nial Fulton, Louis Dempsey, Martin Docherty, Alistair Petrie, Zhu Zhu, Sylvestra Le Touzel, Shaun Lawton, Dulcie Smart, Gary McCormack, Katy Karrenbauer, David Mitchell, Marco Albrecht, Cody Lee, Heike Hanold-Lynch, Jojo Schoning, Laura Vietzen, Thomas Kügel, Marie Ronnenbeck, Ruby Kastner, Emma Werz, Mya-Lecia Naylor, Korbyn Hanan, Anna Holmes, Moritz Berg, Gigi Lee, Genevien Lee, Victor Esteban Sole, Kristoffer Fuss",187692.0,"Madly ambitious and powerfully emotional, this is an impressively directed, superbly written and brilliantly edited fantasy epic with fantastic (multiple) performances across the board.",madly ambitious and powerfully emotional this is an impressively directed superbly written and brilliantly edited fantasy epic with fantastic multiple performances across the board ,madly ambitious brilliantly edited fantasy epic impressively directed superbly written,"madly ambitious brilliantly edited fantasy epic impressively directed superbly written Drama, Science Fiction & Fantasy"
Cold Mountain,"In this classic story of love and devotion set against the backdrop of the American Civil War, a wounded Confederate soldier named W.P. Inman (Jude Law) deserts his unit and travels across the South, aiming to return to his young wife, Ada (Nicole Kidman), who he left behind to tend their farm. As Inman makes his perilous journey home, Ada struggles to keep their home intact with the assistance of Ruby (Renée Zellweger), a mysterious drifter sent to help her by a kindly neighbor.",The well-crafted Cold Mountain has an epic sweep and captures the horror and brutal hardship of war.,R,"Action & Adventure, Drama, Romance",Anthony Minghella,Anthony Minghella,"Nicole Kidman, Jude Law, Renée Zellweger, Eileen Atkins, Brendan Gleeson, Donald Sutherland, Ray Winstone, Philip Seymour Hoffman, Kathy Baker, Natalie Portman, Giovanni Ribisi, James Gammon, Jack White, Charlie Hunnam, Jena Malone, Lucas Black, Ethan Suplee, Jay Tavare, Melora Walters, Taryn Manning, Tom Aldredge, James Rebhorn, Jen Apgar, Emily Deschanel, Mark Jeffrey Miller, Robin Mullins",209910.0,"With zero on-screen chemistry, Jude Law and Nicole Kidman star in ... a snoozer that is long, literary and lifeless.As they might have said in the old days, this sweeping historical romance is one heck of a classy picture which is both its great virtue and its limitation.",with zero on screen chemistry jude law and nicole kidman star in a snoozer that is long literary and lifeless as they might have said in the old days this sweeping historical romance is one heck of a classy picture which is both its great virtue and its limitation ,screen chemistry jude law classy picture long literary great virtue,"screen chemistry jude law classy picture long literary great virtue Action & Adventure, Drama, Romance"
Creepshow,"A compendium of five short but terrifying tales contained within a single full-length feature, this film conjures scares from traditional bogeymen and portents of doom. In one story, a monster escapes from its holding cell. Another focuses on a husband (Leslie Nielsen) with a creative way of getting back at his cheating wife. Other stories concern a rural man (Stephen King) and a visitor from outer space, and a homeowner (E.G. Marshall) with huge bug problems and a boozing corpse.","It's uneven, as anthologies often are, but Creepshow is colorful, frequently funny, and treats its inspirations with infectious reverence.",R,Horror,George A. Romero,Stephen King,"Hal Holbrook, Adrienne Barbeau, Fritz Weaver, Stephen King, Leslie Nielsen, Ted Danson, Carrie Nye, E.G. Marshall, Viveca Lindfors, Ed Harris, Warner Shook, Robert Harper, Elizabeth Regan, Gaylen Ross, Tom Atkins, Jon Lormer, Don Keefer, Bingo O'Malley, John Amplas, David L. Early, Nann Mogg, Iva Jean Saraceni, Joe Hill, Christine Forrest, Cletus Anderson, Chuck Aber, Katie Karlovitz, Peter Messer, Marty Schiff, Tom Savini",39732.0,"Genuinely creepy, satirical and occasionally daft horror tales with a distinctly moral bent.",genuinely creepy satirical and occasionally daft horror tales with a distinctly moral bent ,genuinely creepy satirical bent occasionally daft horror tales,genuinely creepy satirical bent occasionally daft horror tales Horror
Dancer,"Filmmaker Steven Cantor examines the life and career of ballet dancer Sergei Polunin, from his early days in the Ukraine to his performances in the United Kingdom, Russia and America.",,NR,Documentary,Steven Cantor,,"Sergei Polunin, David LaChapelle, Galyna Polunina, Jade Hale-Christofi, Valentino Zucchetti, Igor Zelensky, Galina Ivanovna, Larysa Lavrikova, Valia Polunina, Salvatore Scalzo",393.0,"Filmmaker Cantor has enough access to the titular hoofer's parents, grandmother and Royal Academy colleagues to unravel his mystery of his 'retirement' and to capture the precise moment when he falls back in love with dancing.",filmmaker cantor has enough access to the titular hoofer s parents grandmother and royal academy colleagues to unravel his mystery of his retirement and to capture the precise moment when he falls back in love with dancing ,academy colleagues titular hoofer parents grandmother precise moment filmmaker cantor,academy colleagues titular hoofer parents grandmother precise moment filmmaker cantor Documentary
Depraved,A disillusioned field surgeon who is suffering from post-traumatic stress disorder makes a man out of body parts and brings him to life in a Brooklyn loft.,"A thrillingly effective update on a classic story, Depraved jolts a familiar monster back to life with a potent blend of timely themes and old-school chills.",NR,"Horror, Mystery & Suspense",Larry Fessenden,Larry Fessenden,"David Call, Joshua Leonard, Alex Breaux, Ana Kayne, Maria Dizzia, Chloë Levine, Owen Campbell, Addison Timlin",58.0,"Depraved is director Larry Fessenden's take on the Frankenstein story, with his own modern twist. The update makes it gloriously timely without losing any of the underlying tragedy of the original tale.",depraved is director larry fessenden s take on the frankenstein story with his own modern twist the update makes it gloriously timely without losing any of the underlying tragedy of the original tale ,director larry fessenden frankenstein story modern twist underlying tragedy gloriously,"director larry fessenden frankenstein story modern twist underlying tragedy gloriously Horror, Mystery & Suspense"
Destroyer,"As a young cop, Erin Bell went under cover to infiltrate a gang in the California desert -- with tragic results. Bell continues to work as a detective for the Los Angeles Police Department, but feelings of anger and remorse leave her worn-down and consumed by guilt. When the leader of that gang suddenly re-emerges, Erin embarks on an obsessive quest to find his former associates, bring him to justice and make peace with her tortured past.","Destroyer's grueling narrative is as uncompromising as Nicole Kidman's central performance, which adds extra layers to a challenging film that leaves a lingering impact.",R,Mystery & Suspense,Karyn Kusama,"Matt Manfredi, Phil Hay","Nicole Kidman, Sebastian Stan, Toby Kebbell, Tatiana Maslany, Bradley Whitford, Jade Pettyjohn, Scoot McNairy, Toby Huss, James Jordan, Beau Knapp, Shamier Anderson, Zach Villa, Natalia Cordova-Buckley, Colby French, Kelvin Han Yee, Joseph Fatu, Cuete Yeska, Doug Simpson, Kale Clauson, Jan Hoag",1311.0,"Destroyer offers a refreshingly nuanced take on the old cop on a mission to avenge their slain partner trope, and also offers viewers a chance to see Nicole Kidman as we've never seen her before.",destroyer offers a refreshingly nuanced take on the old cop on a mission to avenge their slain partner trope and also offers viewers a chance to see nicole kidman as we ve never seen her before ,destroyer offers viewers refreshingly nuanced old cop slain partner trope,destroyer offers viewers refreshingly nuanced old cop slain partner trope Mystery & Suspense
Emma.,"Beautiful, smart and wealthy, Emma Woodhouse navigates her way through misguided matches, romantic missteps and the challenges of growing up -- all to finally realize the love that has been there all along.","Other adaptations may do a better job of consistently capturing the spirit of the classic source material, but Jane Austen fans should still find a solid match in this Emma.",PG,"Comedy, Drama",Autumn de Wilde,Eleanor Catton,"Anya Taylor-Joy, Johnny Flynn, Bill Nighy, Mia Goth, Miranda Hart, Josh O'Connor, Callum Turner, Rupert Graves, Gemma Whelan, Amber Anderson, Tanya Reynolds, Connor Swindells, Chloe Pirrie, Jill Buchanan, Isabella Kennard-Barden, Kevin Daigneault, Rose Shalloo, Charlotte Todd, Aisling Turner, Isabella Lily Mai Gibbs, Vanessa M. Owen",2093.0,"Emma is a fine, fun adaptation of the Jane Austen novel, with an exceptional lead performance and decadent styling making up for some of the film's messier elements.",emma is a fine fun adaptation of the jane austen novel with an exceptional lead performance and decadent styling making up for some of the film s messier elements ,fine fun adaptation decadent styling making austen exceptional lead performance,"fine fun adaptation decadent styling making austen exceptional lead performance Comedy, Drama"
Evan Almighty,"Newscaster Evan Baxter (Steve Carell) leaves Buffalo behind when he wins a seat in Congress. Moving his wife (Lauren Graham) and family to northern Virginia, he seems to have it made, then God (Morgan Freeman) throws a crisis of biblical proportions at his feet: The Lord wants him to build an ark and line up all the animals two-by-two in preparation for a flood.","Big on special effects but short on laughs, Evan Almighty underutilizes a star-studded cast that includes Steve Carell and Morgan Freeman.",PG,"Comedy, Science Fiction & Fantasy",Tom Shadyac,"Alec Sokolow, Steve Oedekerk, Josh Stolberg, Bobby Florsheim, Joel Cohen","Steve Carell, Morgan Freeman, Lauren Graham, Wanda Sykes, Graham Phillips, Johnny Simmons, Jimmy Bennett, John Michael Higgins, Jonah Hill, Molly Shannon, John Goodman, Harve Presnell, P.J. Byrne, Ralph Harris, Arden Myrin, Brian Howe, Ralph P. Martin, Maile Flanagan, Angela Martinez, Steve Oedekerk, Ed Helms, David Barrera, Jeremiah Birkett, Jesse Burch, Rachael Harris, Casey Strand, Wayne Wilderson, Dean Norris, Derick Alexander, Scott Rollins, Madison Mason, Bruce Gray, Paul Collins, Lisa Arch, Judith Benezra, Krista Carpenter, Gerald Downey, Simon Helberg, Dylan Jones, Jay Lay, Suzy Nakamura, Matt Price, Irene Roseen, Larry Sullivan, Audrey Wasilewski, Jim Doughan, Shelley Dowdy, Meagen Fay, Gregg Goulet, Jan Hoag, Harry S. Murphy, Ruth Williamson, Shashawnee Hall, Lucia Forte, Deborah Carson, Lamont Thompson, Larry Dorf, Tom Beyer, Topper Shutt, Juan M. Fernandez, Bridget Ann White, Roxana Ortega, Charlie Hartsock, William Dennis Hunt, Franklin Dennis Jones, Lillian Lehman, Catherine McGoohan, Phil Reeves, Edmund L. Shaff, Tucker Smallwood, David St. James, Donzella Berry, Brian Carpenter, Thomas Crawford, Gregg L. Daniel, Bill Debrason, Terry Menefee Gau, Mario Griego, Bonnie Johnson, Ted Johnson, Michael Stanton Kennedy, Frances Mitchell, Patrick Pankhurst, Alan Sader, James Shanklin, Robert Shepherd, Rick Warner, Rachel Winfree, Jon Stewart",839640.0,"When Knocked Up supporting player Hill is the funniest member of a cast led by Carell that includes the equally funny Sykes and Graham, you know something's gone sadly wrong.",when knocked up supporting player hill is the funniest member of a cast led by carell that includes the equally funny sykes and graham you know something s gone sadly wrong ,supporting player hill equally funny sykes wrong funniest,"supporting player hill equally funny sykes wrong funniest Comedy, Science Fiction & Fantasy"
